import time: self [us] | cumulative | imported package
import time:       829 |     461375 |                   numpy._core
import time:        23 |     461397 |                 numpy._core._multiarray_umath
import time:       520 |     461917 |               numpy.__config__
import time:       470 |        470 |                                 numpy._typing._nbit_base
import time:       492 |        492 |                                 numpy._typing._nested_sequence
import time:       358 |        358 |                                 numpy._typing._shape
import time:       726 |       2045 |                               numpy._typing._array_like
import time:       465 |        465 |                               numpy._typing._char_codes
import time:       685 |        685 |                               numpy._typing._dtype_like
import time:       438 |        438 |                               numpy._typing._nbit
import time:       389 |        389 |                               numpy._typing._scalars
import time:       384 |        384 |                               numpy._typing._ufunc
import time:       476 |       4879 |                             numpy._typing
import time:       313 |        313 |                                 numpy.lib._array_utils_impl
import time:       540 |        852 |                               numpy.lib._stride_tricks_impl
import time:       440 |       1292 |                             numpy.lib._twodim_base_impl
import time:       333 |        333 |                             numpy.lib.array_utils
import time:     10829 |      10829 |                             numpy.linalg._umath_linalg
import time:      1348 |      18679 |                           numpy.linalg._linalg
import time:       406 |      19085 |                         numpy.linalg
import time:       567 |      19651 |                       numpy.matrixlib.defmatrix
import time:       369 |      20020 |                     numpy.matrixlib
import time:       526 |        526 |                       numpy.lib._histograms_impl
import time:      1113 |       1639 |                     numpy.lib._function_base_impl
import time:       638 |      22295 |                   numpy.lib._index_tricks_impl
import time:       799 |      23094 |                 numpy.lib._arraypad_impl
import time:       843 |        843 |                 numpy.lib._arraysetops_impl
import time:       436 |        436 |                 numpy.lib._arrayterator_impl
import time:       535 |        535 |                 numpy.lib._nanfunctions_impl
import time:       403 |        403 |                       numpy.lib._utils_impl
import time:       463 |        865 |                     numpy.lib._format_impl
import time:       360 |       1225 |                   numpy.lib.format
import time:       474 |        474 |                   numpy.lib._datasource
import time:       596 |        596 |                   numpy.lib._iotools
import time:       704 |       2998 |                 numpy.lib._npyio_impl
import time:       372 |        372 |                     numpy.lib._ufunclike_impl
import time:       460 |        832 |                   numpy.lib._type_check_impl
import time:       628 |       1459 |                 numpy.lib._polynomial_impl
import time:       503 |        503 |                 numpy.lib._shape_base_impl
import time:       408 |        408 |                 numpy.lib._version
import time:       336 |        336 |                 numpy.lib.introspect
import time:       393 |        393 |                 numpy.lib.mixins
import time:       362 |        362 |                 numpy.lib.npyio
import time:       449 |        449 |                   numpy.lib._scimath_impl
import time:       353 |        802 |                 numpy.lib.scimath
import time:       340 |        340 |                 numpy.lib.stride_tricks
import time:       716 |      33217 |               numpy.lib
import time:       389 |        389 |               numpy._array_api_info
import time:      1544 |     499948 |             numpy
import time:       441 |        441 |             sklearn.exceptions
import time:       416 |        416 |                     sklearn.utils._bunch
import time:       649 |       1064 |                   sklearn.utils._metadata_requests
import time:       572 |       1636 |                 sklearn.utils.metadata_routing
import time:       546 |        546 |                         scipy.__config__
import time:       336 |        336 |                         scipy.version
import time:        56 |         56 |                           scipy._distributor_init_local
import time:       352 |        408 |                         scipy._distributor_init
import time:       151 |        151 |                             scipy._external
import time:       222 |        372 |                           scipy._external.packaging_version
import time:       382 |        382 |                           scipy._external.packaging_version._structures
import time:      1385 |       2138 |                         scipy._external.packaging_version.version
import time:       678 |        678 |                                     compression
import time:       422 |       1099 |                                   compression._common
import time:       443 |        443 |                                   compression._common._streams
import time:      1860 |       1860 |                                   _bz2
import time:      1121 |       4522 |                                 bz2
import time:      1867 |       1867 |                                   _lzma
import time:       750 |       2617 |                                 lzma
import time:      1865 |       1865 |                                   _zstd
import time:       557 |        557 |                                   compression.zstd._zstdfile
import time:       771 |       3192 |                                 compression.zstd
import time:       827 |      11156 |                               shutil
import time:        50 |         50 |                                   _locale
import time:       819 |        868 |                                 locale
import time:       626 |        626 |                                 signal
import time:       330 |        330 |                                 fcntl
import time:        35 |         35 |                                 msvcrt
import time:       913 |       2770 |                               subprocess
import time:       509 |        509 |                                 concurrent
import time:       729 |        729 |                                 concurrent.futures._base
import time:        44 |         44 |                                 _interpreters
import time:       462 |       1743 |                               concurrent.futures
import time:        61 |         61 |                                     _heapq
import time:       521 |        581 |                                   heapq
import time:      1791 |       1791 |                                   _queue
import time:       589 |       2960 |                                 queue
import time:       468 |       3428 |                               concurrent.futures.thread
import time:       493 |        493 |                                 importlib._abc
import time:       121 |        614 |                               importlib.util
import time:       327 |        327 |                               cython
import time:        24 |         24 |                               _sysconfig
import time:      1046 |      21104 |                             scipy._lib._testutils
import time:       399 |      21502 |                           scipy._lib
import time:     67489 |      67489 |                             scipy._cyutility
import time:    236764 |     304252 |                           scipy._lib._ccallback_c
import time:       454 |     326208 |                         scipy._lib._ccallback
import time:       794 |     330428 |                       scipy
import time:       416 |        416 |                         scipy.sparse._sputils
import time:       391 |        391 |                         scipy._lib._sparse
import time:       407 |        407 |                         scipy.sparse._matrix
import time:       754 |       1967 |                       scipy.sparse._base
import time:    176092 |     176092 |                         scipy.sparse._sparsetools
import time:       643 |        643 |                                 numpy._typing._add_docstring
import time:       453 |       1096 |                               numpy.typing
import time:       786 |        786 |                                     scipy._external.array_api_compat.common._typing
import time:       816 |       1601 |                                   scipy._external.array_api_compat.common._helpers
import time:       552 |       2152 |                                 scipy._external.array_api_compat.common
import time:       401 |       2553 |                               scipy._external.array_api_compat
import time:       707 |        707 |                                 scipy._external.array_api_compat._internal
import time:      5118 |       5118 |                                       unittest.util
import time:      5752 |      10870 |                                     unittest.result
import time:       975 |        975 |                                       difflib
import time:     11486 |      11486 |                                       pprint
import time:     14715 |      27175 |                                     unittest.case
import time:      7285 |       7285 |                                     unittest.suite
import time:      6508 |       6508 |                                     unittest.loader
import time:       724 |        724 |                                         gettext
import time:      1085 |       1808 |                                       argparse
import time:      3824 |       3824 |                                         unittest.signals
import time:      7027 |      10851 |                                       unittest.runner
import time:      5953 |      18612 |                                     unittest.main
import time:      7335 |      77782 |                                   unittest
import time:       519 |        519 |                                   numpy.testing._private
import time:       311 |        311 |                                   numpy.testing.overrides
import time:        52 |         52 |                                       gc
import time:       497 |        497 |                                         email
import time:        57 |         57 |                                           binascii
import time:       458 |        458 |                                             zipfile._path.glob
import time:       659 |       1116 |                                           zipfile._path
import time:       984 |       2156 |                                         zipfile
import time:      1101 |       1101 |                                         importlib.metadata._meta
import time:      1898 |       1898 |                                         importlib.metadata._collections
import time:       384 |        384 |                                         importlib.metadata._functools
import time:       363 |        363 |                                         importlib.metadata._itertools
import time:       479 |        479 |                                         importlib.abc
import time:       838 |       7714 |                                       importlib.metadata
import time:       664 |        664 |                                       tempfile
import time:      2542 |       2542 |                                         _socket
import time:       974 |       3515 |                                       socket
import time:     24982 |      36926 |                                     numpy.testing._private.utils
import time:       433 |      37359 |                                   numpy.testing._private.extbuild
import time:       500 |     116469 |                                 numpy.testing
import time:      3350 |       3350 |                                   numpy.ma.core
import time:       778 |        778 |                                   numpy.ma.extras
import time:       608 |       4735 |                                 numpy.ma
import time:       559 |        559 |                                   numpy.f2py.diagnose
import time:       387 |        387 |                                     numpy.f2py._backends
import time:       318 |        318 |                                     numpy.f2py.__version__
import time:       384 |        384 |                                       numpy.f2py.cfuncs
import time:       681 |       1064 |                                     numpy.f2py.auxfuncs
import time:      1147 |       1147 |                                       numpy.f2py.cb_rules
import time:       383 |        383 |                                       numpy.f2py._isocbind
import time:      8407 |       8407 |                                         fileinput
import time:      1186 |       1186 |                                                 charset_normalizer.constant
import time:      1834 |       1834 |                                                   unicodedata
import time:       606 |       2439 |                                                 charset_normalizer.utils
import time:       837 |       4461 |                                               charset_normalizer.md
import time:      2238 |       6699 |                                             charset_normalizer.cd
import time:       603 |        603 |                                             charset_normalizer.models
import time:        27 |         27 |                                             _multibytecodec
import time:       992 |       8320 |                                           charset_normalizer.api
import time:       516 |        516 |                                           charset_normalizer.legacy
import time:       372 |        372 |                                           charset_normalizer.version
import time:       802 |      10008 |                                         charset_normalizer
import time:      1071 |       1071 |                                         numpy.f2py.symbolic
import time:      5619 |      25103 |                                       numpy.f2py.crackfortran
import time:       546 |      27177 |                                     numpy.f2py.capi_maps
import time:       465 |        465 |                                       numpy.f2py.func2subr
import time:       568 |       1033 |                                     numpy.f2py.f90mod_rules
