import time: self [us] | cumulative | imported package
import time:      2125 |     146234 |                                       scipy.interpolate._fitpack_py
import time:       987 |        987 |                                       scipy.interpolate._polyint
import time:     64651 |      64651 |                                       scipy.interpolate._ppoly
import time:     69134 |      69134 |                                       scipy.interpolate._interpnd
import time:      2415 |     283420 |                                     scipy.interpolate._interpolate
import time:      2791 |       2791 |                                     scipy.interpolate._fitpack2
import time:       649 |        649 |                                     scipy.interpolate._rbf
import time:       578 |        578 |                                         scipy.interpolate._rbfinterp_common
import time:     96743 |      96743 |                                         scipy.interpolate._rbfinterp_pythran
import time:       371 |      97691 |                                       scipy.interpolate._rbfinterp_np
import time:       592 |        592 |                                       scipy.interpolate._rbfinterp_xp
import time:       843 |      99125 |                                     scipy.interpolate._rbfinterp
import time:      1612 |       1612 |                                     scipy.interpolate._cubic
import time:       513 |        513 |                                     scipy.interpolate._ndgriddata
import time:      1290 |       1290 |                                     scipy.interpolate._fitpack_repro
import time:       554 |        554 |                                     scipy.interpolate._pade
import time:     68567 |      68567 |                                       scipy.interpolate._rgi_cython
import time:      2062 |       2062 |                                       scipy.interpolate._ndbspline
import time:       948 |      71576 |                                     scipy.interpolate._rgi
import time:       541 |        541 |                                     scipy.interpolate._bary_rational
import time:       434 |        434 |                                     scipy.interpolate.fitpack
import time:       360 |        360 |                                     scipy.interpolate.fitpack2
import time:       507 |        507 |                                     scipy.interpolate.interpolate
import time:       386 |        386 |                                     scipy.interpolate.ndgriddata
import time:       375 |        375 |                                     scipy.interpolate.polyint
import time:       399 |        399 |                                     scipy.interpolate.rbf
import time:       534 |        534 |                                     scipy.interpolate.interpnd
import time:       775 |     465835 |                                   scipy.interpolate
import time:    117330 |     117330 |                                     scipy.special.cython_special
import time:     76552 |     193881 |                                   scipy.stats._stats
import time:       869 |        869 |                                   scipy.stats._tukeylambda_stats
import time:       525 |        525 |                                   scipy.stats._ksstats
import time:     30547 |     691655 |                                 scipy.stats._continuous_distns
import time:     73761 |      73761 |                                   scipy.stats._biasedurn
import time:     11316 |      85076 |                                 scipy.stats._discrete_distns
import time:     61572 |      61572 |                                   scipy.stats._levy_stable.levyst
import time:      2508 |      64079 |                                 scipy.stats._levy_stable
import time:       682 |        682 |                                   scipy.stats._axis_nan_policy
import time:      1899 |       2581 |                                 scipy.stats._entropy
import time:      1016 |    1196629 |                               scipy.stats.distributions
import time:       450 |        450 |                                 scipy._lib._bunch
import time:     88840 |      88840 |                                 scipy.stats._stats_pythran
import time:      1941 |       1941 |                                 scipy.stats._stats_mstats_common
import time:      2178 |      93408 |                               scipy.stats._mstats_basic
import time:      1172 |       1172 |                                 scipy.stats._common
import time:     10370 |      11541 |                               scipy.stats._resampling
import time:      1186 |       1186 |                               scipy.stats._binomtest
import time:      1320 |       1320 |                               scipy.stats._quantile
import time:     40152 |    3618126 |                             scipy.stats._stats_py
import time:      2802 |       2802 |                             scipy.stats._variation
import time:     57317 |      57317 |                               scipy.stats._ansari_swilk_statistics
import time:      8757 |       8757 |                                 scipy.stats._hypotests
import time:       723 |       9479 |                               scipy.stats._wilcoxon
import time:      2556 |       2556 |                               scipy.stats._fit
import time:       625 |        625 |                                 scipy.stats._relative_risk
import time:       642 |        642 |                                 scipy.stats._crosstab
import time:       478 |        478 |                                 scipy.stats._odds_ratio
import time:      1343 |       3086 |                               scipy.stats.contingency
import time:     18375 |      90811 |                             scipy.stats._morestats
import time:       545 |        545 |                                   scipy.sparse.csgraph._laplacian
import time:     74522 |      74522 |                                       scipy.sparse.csgraph._tools
import time:       588 |      75110 |                                     scipy.sparse.csgraph._validation
import time:     71239 |     146348 |                                   scipy.sparse.csgraph._shortest_path
import time:     76699 |      76699 |                                   scipy.sparse.csgraph._traversal
import time:     71935 |      71935 |                                   scipy.sparse.csgraph._min_spanning_tree
import time:     62733 |      62733 |                                   scipy.sparse.csgraph._flow
import time:     67026 |      67026 |                                   scipy.sparse.csgraph._matching
import time:     84633 |      84633 |                                   scipy.sparse.csgraph._reordering
import time:       625 |     510542 |                                 scipy.sparse.csgraph
import time:       655 |        655 |                                       importlib.resources.abc
import time:       773 |       1428 |                                     importlib.resources._common
import time:       453 |        453 |                                     importlib.resources._functional
import time:       733 |       2613 |                                   importlib.resources
import time:     69051 |      71663 |                                 scipy.stats._sobol
import time:    105523 |     105523 |                                 scipy.stats._qmc_cy
import time:      1784 |     689511 |                               scipy.stats._qmc
import time:      4300 |     693810 |                             scipy.stats._multicomp
import time:      4366 |       4366 |                             scipy.stats._binned_statistic
import time:      1750 |       1750 |                                 scipy.stats._covariance
import time:     89436 |      89436 |                                   scipy.stats._rcont.rcont
import time:      1271 |      90707 |                                 scipy.stats._rcont
import time:     66656 |      66656 |                                   scipy.stats._qmvnt_cy
import time:       634 |      67290 |                                 scipy.stats._qmvnt
import time:      5571 |     165316 |                               scipy.stats._multivariate
import time:      6217 |     171532 |                             scipy.stats._kde
import time:       637 |        637 |                               scipy.stats._mstats_extras
import time:       644 |       1281 |                             scipy.stats.mstats
import time:      1019 |       1019 |                             scipy.stats.qmc
import time:      2792 |       2792 |                             scipy.stats._page_trend_test
import time:      2979 |       2979 |                             scipy.stats._mannwhitneyu
import time:      1315 |       1315 |                             scipy.stats._bws_test
import time:      3205 |       3205 |                             scipy.stats._sensitivity_analysis
import time:      2543 |       2543 |                             scipy.stats._survival
import time:       807 |        807 |                               scipy.stats._probability_distribution
import time:      4540 |       5346 |                             scipy.stats._distribution_infrastructure
import time:     16260 |      16260 |                             scipy.stats._new_distributions
import time:       928 |        928 |                                       scipy.ndimage._ni_support
import time:     75185 |      75185 |                                       scipy.ndimage._nd_image
import time:      1675 |       1675 |                                       scipy.ndimage._ni_docstrings
import time:     73887 |      73887 |                                       scipy.ndimage._rank_filter_1d
import time:      1792 |     153466 |                                     scipy.ndimage._filters
import time:       632 |        632 |                                     scipy.ndimage._fourier
import time:       964 |        964 |                                     scipy.ndimage._interpolation
import time:     71165 |      71165 |                                       scipy.ndimage._ni_label
import time:       691 |        691 |                                       scipy.ndimage._morphology
import time:       588 |      72443 |                                     scipy.ndimage._measurements
import time:       833 |     228336 |                                   scipy.ndimage._ndimage_api
import time:       603 |        603 |                                   scipy.ndimage._delegators
import time:     34644 |     263582 |                                 scipy.ndimage._support_alternative_backends
import time:       942 |        942 |                                 scipy.ndimage.filters
import time:       468 |        468 |                                 scipy.ndimage.fourier
import time:       481 |        481 |                                 scipy.ndimage.interpolation
import time:       433 |        433 |                                 scipy.ndimage.measurements
import time:       354 |        354 |                                 scipy.ndimage.morphology
import time:      1191 |     267449 |                               scipy.ndimage
import time:      1746 |     269194 |                             scipy.stats._mgc
import time:      2586 |       2586 |                             scipy.stats._correlation
import time:       448 |        448 |                             scipy.stats.biasedurn
import time:       378 |        378 |                             scipy.stats.kde
import time:       349 |        349 |                             scipy.stats.morestats
import time:       372 |        372 |                             scipy.stats.mstats_basic
import time:       368 |        368 |                             scipy.stats.mstats_extras
import time:       313 |        313 |                             scipy.stats.mvn
import time:       363 |        363 |                             scipy.stats.stats
import time:      1023 |    4894171 |                           scipy.stats
import time:       465 |        465 |                           pandas
import time:       422 |        422 |                             sklearn.externals._packaging
import time:      1200 |       1200 |                             sklearn.externals._packaging._structures
import time:      1970 |       3591 |                           sklearn.externals._packaging.version
import time:     17620 |      17620 |                               ctypes.util
import time:      1569 |      19189 |                             threadpoolctl
import time:       527 |      19716 |                           sklearn.utils.parallel
import time:       677 |    5158087 |                         sklearn.utils.fixes
import time:       784 |    7085161 |                       sklearn.utils._array_api
import time:     17077 |      17077 |                         sklearn._cyutility
import time:     13837 |      30914 |                       sklearn.utils._isfinite
import time:      4251 |       4251 |                       sklearn.utils._tags
import time:       742 |    7279446 |                     sklearn.utils.validation
import time:       805 |    8204328 |                   sklearn.utils._param_validation
import time:       413 |    8204740 |                 sklearn.utils._chunking
import time:       452 |        452 |                     sklearn.utils.deprecation
import time:     11717 |      11717 |                       sklearn.utils.sparsefuncs_fast
import time:       440 |      12157 |                     sklearn.utils.sparsefuncs
import time:       736 |      13344 |                   sklearn.utils.extmath
import time:       969 |      14313 |                 sklearn.utils._indexing
import time:       468 |        468 |                   sklearn.utils._missing
import time:       381 |        381 |                   sklearn.utils._sparse
import time:       536 |       1384 |                 sklearn.utils._mask
import time:       399 |        399 |                   sklearn.utils._repr_html
import time:       573 |        972 |                 sklearn.utils._repr_html.base
import time:       979 |        979 |                     html.entities
import time:       662 |       1641 |                   html
import time:       396 |        396 |                   sklearn.utils._repr_html.features
import time:     15825 |      17861 |                 sklearn.utils._repr_html.estimator
import time:       455 |        455 |                 sklearn.utils.class_weight
import time:       417 |        417 |                 sklearn.utils.discovery
import time:     10370 |      10370 |                 sklearn.utils.murmurhash
import time:       532 |    8252676 |               sklearn.utils
import time:        21 |    8252696 |             sklearn.utils._metadata_requests
import time:       207 |        207 |                 sklearn.externals._numpydoc
import time:       835 |        835 |                 sklearn.externals._numpydoc.docscrape
import time:       519 |       1559 |               sklearn.utils._repr_html.common
import time:       550 |       2108 |             sklearn.utils._repr_html.fitted_attributes
import time:       474 |        474 |             sklearn.utils._repr_html.params
import time:       393 |        393 |               sklearn.utils._available_if
import time:       520 |        912 |             sklearn.utils._set_output
import time:       698 |    8761092 |           sklearn.base
import time:      9771 |       9771 |             sklearn.utils._openmp_helpers
import time:       396 |      10166 |           sklearn.utils._show_versions
import time:       721 |    8807726 |         sklearn
import time:       842 |        842 |         sklearn.feature_extraction.image
import time:        78 |         78 |           array
import time:     11587 |      11587 |               sklearn.utils._vector_sentinel
import time:     12251 |      23837 |             sklearn.feature_extraction._hashing_fast
import time:       549 |      24385 |           sklearn.feature_extraction._hash
import time:       678 |        678 |           sklearn.feature_extraction._stop_words
import time:       538 |        538 |                 sklearn.callback._base
import time:       469 |        469 |                 sklearn.callback._callback_context
import time:       392 |        392 |                 sklearn.callback._callback_support
import time:       634 |        634 |                   sklearn.callback._transport
import time:       420 |        420 |                   sklearn.utils._optional_dependencies
import time:       558 |        558 |                       rich._extension
import time:       631 |       1189 |                     rich
import time:       449 |        449 |                     rich.filesize
import time:       462 |        462 |                       rich._null_file
import time:       366 |        366 |                       rich.errors
import time:       587 |        587 |                               colorsys
import time:       443 |        443 |                                   rich.color_triplet
import time:       379 |        822 |                                 rich.palette
import time:       363 |       1185 |                               rich._palettes
import time:       462 |        462 |                               rich.repr
import time:       470 |        470 |                               rich.terminal_theme
import time:      1005 |       3707 |                             rich.color
import time:       559 |       4265 |                           rich.style
import time:       584 |       4849 |                         rich.default_styles
import time:       417 |        417 |                         rich.theme
import time:       540 |       5805 |                       rich.themes
import time:       498 |        498 |                       rich._emoji_replace
import time:       476 |        476 |                       rich._export_format
import time:       362 |        362 |                       rich._fileno
import time:       353 |        353 |                           rich._loop
import time:       297 |        297 |                           rich._pick
import time:       527 |        527 |                                 rich._unicode_data._versions
import time:       534 |       1060 |                               rich._unicode_data
import time:       699 |       1759 |                             rich.cells
import time:       389 |       2148 |                           rich._wrap
import time:       852 |        852 |                                 rich.segment
import time:       428 |       1280 |                               rich.jupyter
import time:       343 |        343 |                                 rich.protocol
import time:       577 |        919 |                               rich.measure
import time:       350 |       2547 |                             rich.constrain
import time:       507 |       3053 |                           rich.align
import time:       433 |        433 |                           rich.containers
import time:       466 |        466 |                           rich.control
import time:       426 |        426 |                           rich.emoji
import time:       808 |       7980 |                         rich.text
import time:       372 |       8352 |                       rich._log_render
import time:       538 |        538 |                       rich.highlighter
import time:      1296 |       1296 |                       rich.markup
import time:       409 |        409 |                       rich.pager
import time:       443 |        443 |                       rich.region
import time:       410 |        410 |                       rich.screen
import time:       358 |        358 |                       rich.styled
import time:      1974 |      21744 |                     rich.console
import time:       702 |        702 |                         rich.ansi
import time:       406 |       1108 |                       rich.file_proxy
import time:       469 |        469 |                       rich.live_render
import time:       500 |       2075 |                     rich.live
import time:       459 |        459 |                     rich.progress_bar
import time:       399 |        399 |                       rich._spinners
import time:       542 |        542 |                         rich.box
import time:      3319 |       3319 |                           fractions
import time:       437 |       3755 |                         rich._ratio
import time:       499 |        499 |                         rich.padding
import time:      1298 |       6092 |                       rich.table
import time:       411 |       6901 |                     rich.spinner
import time:      1478 |      34293 |                   rich.progress
import time:       537 |      35883 |                 sklearn.callback._progressbar
import time:       774 |        774 |                 sklearn.callback._scoring_monitor
import time:       435 |      38488 |               sklearn.callback
import time:      1097 |       1097 |                 sklearn.utils._encode
import time:       979 |       2075 |               sklearn.preprocessing._encoders
import time:      1909 |      42472 |             sklearn.preprocessing._data
import time:       345 |        345 |               sklearn.utils.stats
import time:       640 |        984 |             sklearn.preprocessing._discretization
import time:       518 |        518 |               sklearn.utils.metaestimators
import time:       630 |       1147 |             sklearn.preprocessing._function_transformer
import time:       413 |        413 |                 sklearn.utils._unique
import time:       444 |        856 |               sklearn.utils.multiclass
import time:       762 |       1618 |             sklearn.preprocessing._label
import time:     14870 |      14870 |               sklearn.preprocessing._csr_polynomial_expansion
import time:      1002 |      15872 |             sklearn.preprocessing._polynomial
import time:     11370 |      11370 |               sklearn.preprocessing._target_encoder_fast
import time:      2115 |      13485 |             sklearn.preprocessing._target_encoder
import time:       663 |      76238 |           sklearn.preprocessing
import time:      1343 |     102720 |         sklearn.feature_extraction.text
import time:       920 |        920 |         sklearn.feature_extraction._dict_vectorizer
import time:       551 |    8912758 |       sklearn.feature_extraction
import time:        14 |    8912772 |     sklearn.feature_extraction.text
import time:       346 |        346 |                 transformers.dependency_versions_table
import time:       600 |        600 |                     packaging
import time:      1605 |       1605 |                     packaging.version
import time:     13164 |      13164 |                             regex._regex
import time:      2953 |      16117 |                           regex._regex_core
import time:        89 |         89 |                           regex.DEFAULT_VERSION
import time:       916 |      17120 |                         regex._main
import time:       649 |      17768 |                       regex
import time:      2053 |       2053 |                       typing_extensions
import time:       646 |        646 |                       transformers.utils.doc
import time:       914 |        914 |                             huggingface_hub
import time:       489 |        489 |                                 httpx.__version__
import time:       937 |        937 |                                           http
import time:       559 |        559 |                                               email.errors
import time:       405 |        405 |                                                   email.quoprimime
import time:       301 |        301 |                                                   email.base64mime
import time:       489 |        489 |                                                       quopri
import time:       331 |        820 |                                                     email.encoders
import time:       349 |       1168 |                                                   email.charset
import time:       990 |       2862 |                                                 email.header
import time:       867 |        867 |                                                   email._parseaddr
import time:       995 |       1862 |                                                 email.utils
import time:       562 |       5285 |                                               email._policybase
import time:       780 |       6623 |                                             email.feedparser
import time:       652 |       7275 |                                           email.parser
import time:       693 |        693 |                                             email._encoded_words
import time:       656 |        656 |                                             email.iterators
import time:      1133 |       2482 |                                           email.message
import time:      1170 |      11862 |                                         http.client
import time:       619 |        619 |                                           urllib.response
import time:       632 |       1250 |                                         urllib.error
import time:      1231 |      14343 |                                       urllib.request
import time:       775 |        775 |                                       httpx._exceptions
import time:      1088 |       1088 |                                           calendar
import time:      1737 |       2825 |                                         http.cookiejar
import time:       629 |        629 |                                             mimetypes
import time:       846 |        846 |                                             httpx._types
import time:       507 |        507 |                                             httpx._utils
import time:       569 |       2550 |                                           httpx._multipart
import time:       458 |       3008 |                                         httpx._content
import time:       367 |        367 |                                           brotli
import time:       288 |        288 |                                           brotlicffi
import time:       277 |        277 |                                           zstandard
import time:       928 |       1859 |                                         httpx._decoders
import time:       923 |        923 |                                         httpx._status_codes
import time:       455 |        455 |                                               idna.idnadata
import time:       405 |        405 |                                               idna.intranges
import time:       748 |       1607 |                                             idna.core
import time:       359 |        359 |                                             idna.package_data
import time:       628 |       2593 |                                           idna
import time:      1072 |       1072 |                                           httpx._urlparse
import time:       569 |       4232 |                                         httpx._urls
import time:       897 |      13743 |                                       httpx._models
import time:       679 |      29538 |                                     httpx._auth
import time:       479 |        479 |                                     httpx._config
import time:       392 |        392 |                                           httpx._transports.base
import time:       615 |       1006 |                                         httpx._transports.asgi
import time:       547 |        547 |                                         httpx._transports.default
import time:       544 |        544 |                                         httpx._transports.mock
import time:       404 |        404 |                                         httpx._transports.wsgi
import time:       402 |       2902 |                                       httpx._transports
import time:        21 |       2922 |                                     httpx._transports.base
import time:       835 |      33773 |                                   httpx._client
import time:       427 |      34200 |                                 httpx._api
import time:       647 |        647 |                                           click._winconsole
import time:       678 |       1325 |                                         click._compat
import time:       368 |        368 |                                           click.globals
import time:       497 |        497 |                                           click.utils
import time:       526 |       1390 |                                         click.exceptions
import time:      1012 |       3726 |                                       click.types
import time:       485 |        485 |                                       click._utils
import time:       466 |        466 |                                         click.parser
import time:       441 |        907 |                                       click.formatting
import time:       555 |        555 |                                       click.termui
import time:      1227 |       6898 |                                     click.core
import time:       510 |        510 |                                     click.decorators
import time:       654 |       8061 |                                   click
import time:       609 |        609 |                                     pygments
import time:      1303 |       1303 |                                     pygments.lexers._mapping
import time:       527 |        527 |                                     pygments.modeline
import time:       365 |        365 |                                     pygments.plugin
import time:       649 |        649 |                                     pygments.util
import time:       771 |       4223 |                                   pygments.lexers
import time:       372 |        372 |                                       pygments.filter
import time:       469 |        469 |                                         pygments.token
import time:       614 |       1083 |                                       pygments.filters
import time:       448 |        448 |                                       pygments.regexopt
import time:       653 |       2554 |                                     pygments.lexer
import time:       551 |        551 |                                     pygments.style
import time:       536 |        536 |                                       pygments.styles._mapping
import time:       489 |       1024 |                                     pygments.styles
import time:       874 |       5003 |                                   rich.syntax
import time:       704 |      17989 |                                 httpx._main
import time:       689 |      53366 |                               httpx
import time:       751 |      54116 |                             huggingface_hub.errors
import time:       562 |        562 |                                   tqdm._monitor
import time:       377 |        377 |                                   tqdm._tqdm_pandas
import time:       400 |        400 |                                               colorama.ansi
import time:       489 |        489 |                                                 colorama.win32
import time:       464 |        952 |                                               colorama.winterm
import time:       600 |       1952 |                                             colorama.ansitowin32
import time:       616 |       2567 |                                           colorama.initialise
import time:       808 |       3374 |                                         colorama
import time:       786 |       4160 |                                       tqdm.utils
import time:       823 |       4982 |                                     tqdm.std
import time:       387 |        387 |                                         importlib.metadata._text
import time:       418 |        804 |                                       importlib.metadata._adapters
import time:     14246 |      15050 |                                     tqdm.version
import time:       586 |      20617 |                                   tqdm.cli
import time:       624 |        624 |                                   tqdm.gui
import time:      1113 |      23290 |                                 tqdm
import time:       361 |        361 |                                 tqdm.autonotebook
import time:       482 |        482 |                                 tqdm.asyncio
import time:       497 |      24630 |                               tqdm.auto
import time:       915 |        915 |                               huggingface_hub.constants
import time:      8436 |      33980 |                             huggingface_hub.utils.tqdm
import time:      1566 |       1566 |                               configparser
import time:    143395 |     143395 |                               huggingface_hub.utils._runtime
import time:       542 |     145502 |                             huggingface_hub.utils._auth
import time:       847 |        847 |                             huggingface_hub.utils._cache_assets
import time:       863 |        863 |                               huggingface_hub.utils.logging
import time:       966 |        966 |                               huggingface_hub.utils._parsing
import time:       775 |        775 |                               huggingface_hub.utils._terminal
import time:      4186 |       6788 |                             huggingface_hub.utils._cache_manager
import time:       832 |        832 |                             huggingface_hub.utils._chunk_utils
import time:       633 |        633 |                             huggingface_hub.utils._datetime
import time:       845 |        845 |                             huggingface_hub.utils._detect_agent
import time:      1349 |       1349 |                             huggingface_hub.utils._experimental
import time:       979 |        979 |                                 yaml.error
import time:       846 |        846 |                                 yaml.tokens
import time:       871 |        871 |                                 yaml.events
import time:       736 |        736 |                                 yaml.nodes
import time:      5312 |       5312 |                                   yaml.reader
import time:       986 |        986 |                                   yaml.scanner
import time:       744 |        744 |                                   yaml.parser
import time:       801 |        801 |                                   yaml.composer
import time:      1499 |       1499 |                                   yaml.constructor
import time:      1840 |       1840 |                                   yaml.resolver
import time:       821 |      12000 |                                 yaml.loader
import time:       822 |        822 |                                   yaml.emitter
import time:       713 |        713 |                                   yaml.serializer
import time:       689 |        689 |                                   yaml.representer
import time:       845 |       3068 |                                 yaml.dumper
import time:     17934 |      17934 |                                   yaml._yaml
import time:       830 |      18764 |                                 yaml.cyaml
import time:      1481 |      38742 |                               yaml
import time:       678 |        678 |                                   filelock._error
import time:      1828 |       2506 |                                 filelock._api
import time:       866 |        866 |                                   filelock._read_write
import time:       820 |       1686 |                                 filelock._async_read_write
import time:       563 |        563 |                                   filelock._util
import time:      1026 |       1589 |                                 filelock._soft
import time:      2954 |       2954 |                                     filelock._soft_rw._sync
import time:       931 |       3885 |                                   filelock._soft_rw._async
import time:       925 |       4809 |                                 filelock._soft_rw
import time:       781 |        781 |                                 filelock._unix
import time:       799 |        799 |                                 filelock._windows
import time:      1608 |       1608 |                                 filelock.asyncio
import time:       669 |        669 |                                 filelock.version
import time:      1896 |      16341 |                               filelock
import time:       827 |      55909 |                             huggingface_hub.utils._fixes
import time:       716 |        716 |                               huggingface_hub.utils._subprocess
import time:      2301 |       3017 |                             huggingface_hub.utils._git_credential
import time:      1175 |       1175 |                                 huggingface_hub.utils._typing
import time:       753 |       1927 |                               huggingface_hub.utils._validators
import time:       758 |       2685 |                             huggingface_hub.utils._headers
import time:      2594 |       2594 |                             huggingface_hub.utils._hf_uris
import time:      1226 |       1226 |                               shlex
import time:       626 |        626 |                               huggingface_hub.utils._lfs
import time:      3573 |       5424 |                             huggingface_hub.utils._http
import time:       683 |        683 |                             huggingface_hub.utils._pagination
import time:       652 |        652 |                             huggingface_hub.utils._paths
import time:      1857 |       1857 |                             huggingface_hub.utils._safetensors
import time:       762 |        762 |                             huggingface_hub.utils._telemetry
import time:      2542 |       2542 |                             huggingface_hub.utils._xet
import time:       899 |     322819 |                           huggingface_hub.utils
import time:      1505 |       1505 |                           transformers._typing
import time:       610 |     324933 |                         transformers.utils.logging
import time:        82 |         82 |                             _csv
import time:      1189 |       1270 |                           csv
import time:   3489132 |    3490402 |                         transformers.utils.import_utils
import time:      5244 |    3820578 |                       transformers.utils.generic
import time:      4159 |    3845202 |                     transformers.utils.auto_docstring
import time:       603 |        603 |                         jinja2.bccache
import time:       834 |        834 |                             markupsafe._speedups
import time:      1419 |       2252 |                           markupsafe
import time:      1403 |       1403 |                             jinja2.utils
import time:      1099 |       2502 |                           jinja2.nodes
import time:       517 |        517 |                             jinja2.exceptions
import time:       299 |        299 |                               jinja2.visitor
import time:       503 |        801 |                             jinja2.idtracking
import time:       338 |        338 |                             jinja2.optimizer
import time:      1510 |       3165 |                           jinja2.compiler
import time:       384 |        384 |                               jinja2.async_utils
import time:      1031 |       1031 |                               jinja2.runtime
import time:       871 |       2285 |                             jinja2.filters
import time:       366 |        366 |                             jinja2.tests
import time:       335 |       2986 |                           jinja2.defaults
import time:       695 |        695 |                             jinja2._identifier
import time:      1292 |       1987 |                           jinja2.lexer
import time:       577 |        577 |                           jinja2.parser
import time:      1999 |      15466 |                         jinja2.environment
import time:       497 |        497 |                         jinja2.loaders
import time:       629 |      17193 |                       jinja2
import time:       628 |        628 |                       jinja2.ext
import time:       331 |        331 |                       jinja2.meta
import time:       393 |        393 |                       jinja2.sandbox
import time:       751 |        751 |                           PIL._version
import time:       656 |       1407 |                         PIL
import time:     10266 |      10266 |                         PIL.ExifTags
import time:       941 |        941 |                         PIL.ImageMode
import time:       824 |        824 |                         PIL.TiffTags
import time:       390 |        390 |                         PIL._binary
import time:       378 |        378 |                         PIL._deprecate
import time:       434 |        434 |                         PIL._util
import time:       503 |        503 |                         defusedxml
import time:     13886 |      13886 |                         PIL._imaging
import time:      1958 |      30983 |                       PIL.Image
import time:      1972 |      51498 |                     transformers.utils.chat_template_utils
import time:       575 |        575 |                     transformers.utils.constants
import time:      1567 |       1567 |                       huggingface_hub._local_folder
import time:       434 |        434 |                         huggingface_hub.utils.insecure_hashlib
import time:       537 |        971 |                       huggingface_hub.utils.sha
import time:       550 |        550 |                           httpcore._models
import time:       273 |        273 |                                   httpcore._backends
import time:       405 |        405 |                                   httpcore._exceptions
import time:       325 |        325 |                                   httpcore._utils
import time:       357 |        357 |                                   httpcore._backends.base
import time:       472 |       1830 |                                 httpcore._backends.sync
import time:       506 |        506 |                                     certifi.core
import time:       638 |       1144 |                                   certifi
import time:       248 |       1392 |                                 httpcore._ssl
import time:       329 |        329 |                                   trio
import time:       467 |        467 |                                       anyio._core
import time:       693 |       1160 |                                     anyio._core._contextmanagers
import time:       482 |        482 |                                       anyio._core._exceptions
import time:       328 |        328 |                                       sniffio
import time:       464 |       1273 |                                     anyio._core._eventloop
import time:       547 |        547 |                                           anyio.abc._eventloop
import time:       337 |        337 |                                           anyio.abc._resources
import time:       373 |        373 |                                             anyio._core._typedattr
import time:       741 |        741 |                                               anyio.abc._tasks
import time:      1227 |       1967 |                                             anyio.abc._streams
import time:       745 |       3084 |                                           anyio.abc._sockets
import time:       571 |        571 |                                           anyio.abc._subprocesses
import time:       366 |        366 |                                           anyio.abc._testing
import time:       815 |        815 |                                             anyio.lowlevel
import time:       418 |        418 |                                             anyio._core._tasks
import time:       361 |        361 |                                             anyio._core._testing
